,Protein,Abundance,Sample,ID
37,Histone H1.3 ,1,BoxPL,P16402
38,Histone H1.4 ,1,BoxPL,P10412
39,Histone H2A type 2-B ,1,BoxPL,Q8IUE6
40,Heat shock protein 75 kDa  mitochondrial ,1,BoxPL,Q12931
41,Filaggrin-2 ,1,BoxPL,Q5D862
42,Alpha-enolase ,1,BoxPL,P06733
43,Lysozyme C ,1,BoxPL,P61626
44,Histone H2B ,1,BoxPL,P06899
45,Histone H2B type 1-C/E/F/G/I ,1,BoxPL,P62807
46,Histone H2B type 1-D ,1,BoxPL,P58876
47,Histone H2B type 1-H ,1,BoxPL,Q93079
48,Histone H2B type 1-L ,1,BoxPL,Q99880
49,Histone H2B type 1-M ,1,BoxPL,Q99879
50,Histone H2B type 1-N ,1,BoxPL,Q99877
51,Histone H2B type 1-K ,1,BoxPL,O60814
52,Histone H2B type F-S ,1,BoxPL,P57053
53,Immunoglobulin kappa variable 3D-11 ,1,BoxPL,A0A0A0MRZ8
54,Apolipoprotein C-III ,1,BoxPL,P02656
55,Dermcidin ,1,BoxPL,P81605
56,Ubiquitin-60S ribosomal protein L40 ,1,BoxPL,P62987
57,Cofilin-2 ,1,BoxPL,Q9Y281
58,L-lactate dehydrogenase A chain ,1,BoxPL,P00338
59,C-reactive protein ,1,BoxPL,P02741
60,Hornerin ,1,BoxPL,Q86YZ3
61,Protein POF1B,1,BoxPL,Q8WVV4
62,Histone H3.1t ,1,BoxPL,Q16695
63,Histone H3.2 ,1,BoxPL,Q71DI3
64,60S ribosomal protein L7a ,1,BoxPL,P62424
65,BRI3-binding protein ,1,BoxPL,Q8WY22
66,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,BoxPL,B2RXH8
67,Ubiquitin-40S ribosomal protein S27a ,1,BoxPL,P62979
68,Apolipoprotein(a) ,1,BoxPL,P02647
69,60 kDa heat shock protein  mitochondrial ,1,BoxPL,P10809
70,Histone H2AX ,1,BoxPL,P16104
71,Histone H2A type 1-D ,1,BoxPL,P20671
72,Histone H2A type 1 ,1,BoxPL,Q99878
73,Beta-actin-like protein 2 ,1,BoxPL,Q562R1
74,Histone H2A type 1-H ,1,BoxPL,Q96KK5
75,Histone H2A type 2-A ,1,BoxPL,Q6FI13
76,Histone H2A type 2-C ,1,BoxPL,Q16777
77,Histone H2A type 1-C ,1,BoxPL,Q93077
78,Histone H2A.J ,1,BoxPL,Q9BTM1
79,Histone H2A type 3 ,1,BoxPL,Q7L7L0
80,Peptidyl-prolyl cis-trans isomerase ,1,BoxPL,Q5VVH2
81,Peptidyl-prolyl cis-trans isomerase A ,1,BoxPL,P62937
82,Histone H2A type 1-A ,1,BoxPL,Q96QV6
83,Immunoglobulin heavy variable 3-64D ,1,BoxPL,A0A0J9YX35
84,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,BoxPL,P0DMR1
85,Desmoglein-1 ,1,BoxPL,Q02413
86,Lipocalin-1 ,1,BoxPL,Q5VSP4
87,Galectin-7 ,1,BoxPL,P47929
88,Proteasome subunit alpha type ,1,BoxPL,Q8TAA3
89,Plastin-2 ,1,BoxPL,P13796
90,T-complex protein 1 subunit delta ,1,BoxPL,P50991
91,Elongation factor 1-gamma ,1,BoxPL,P26641
92,HCG2029799 ,1,BoxPL,Q5TEH5
93,ATPase family AAA domain-containing protein 2B ,1,BoxPL,Q9ULI0
94,Nucleoprotein TPR ,1,BoxPL,P12270
95,Peroxiredoxin-1 ,1,BoxPL,Q06830
96,60S ribosomal protein L6 ,1,BoxPL,Q02878
97,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,BoxPL,O60812
98,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,BoxPL,B7ZW38
99,Probable non-functional immunoglobulin heavy variable 3-16 ,1,BoxPL,A0A0C4DH30
100,Triosephosphate isomerase ,1,BoxPL,P60174
101,60S ribosomal protein L11 ,1,BoxPL,P62913
102,Plakophilin-1 ,1,BoxPL,Q13835
103,Sarcosine dehydrogenase  mitochondrial ,1,BoxPL,Q9UL12
104,Proteasome subunit alpha type-6 ,1,BoxPL,P60900
105,60S ribosomal protein L7 ,1,BoxPL,P18124
106,Immunoglobulin heavy variable 3-48 ,0,BoxPL,P01763
107,Apolipoprotein A-IV ,1,BoxPL,P06727
108,Catalase ,1,BoxPL,P04040
109,Peroxiredoxin-2 ,1,BoxPL,P32119
110,Elongation factor 2 ,1,BoxPL,P13639
111,Immunoglobulin heavy variable 5-10-1 ,1,BoxPL,A0A0J9YXX1
112,ELAV-like protein 1 ,1,BoxPL,Q15717
113,Immunoglobulin heavy variable 3-30-5 ,1,BoxPL,P0DP03
114,40S ribosomal protein S21 ,0,BoxPL,P63220
115,40S ribosomal protein S25 ,0,BoxPL,P62851
116,40S ribosomal protein S6 ,0,BoxPL,P62753
117,Alpha-amylase 2B ,0,BoxPL,P19961
118,Aspartate aminotransferase  cytoplasmic ,0,BoxPL,P17174
119,ATP synthase F(0) complex subunit C3  mitochondrial ,0,BoxPL,P48201
120,C4b-binding protein beta chain ,0,BoxPL,P20851
121,Calpain-1 catalytic subunit ,0,BoxPL,P07384
122,Coiled-coil domain-containing protein 174 ,0,BoxPL,Q6PII3
123,Cytosolic 5'-nucleotidase 3A ,0,BoxPL,Q9H0P0
124,Disco-interacting protein 2 homolog B ,0,BoxPL,Q9P265
125,DNA repair protein REV1 ,0,BoxPL,Q9UBZ9
126,Double-stranded RNA-specific editase 1 ,0,BoxPL,P78563
127,Dual specificity protein phosphatase CDC14A ,0,BoxPL,Q9UNH5
128,Filamin-C ,0,BoxPL,Q14315
129,Glucosylceramide transporter ABCA12 ,0,BoxPL,Q86UK0
130,Heat shock 70kDa protein 9B (Mortalin-2) ,0,BoxPL,H0Y8K0
131,Kinesin-like protein KIF21A ,0,BoxPL,Q7Z4S6
132,MICAL-like protein 1 ,0,BoxPL,Q8N3F8
133,Myosin-9 ,0,BoxPL,P35579
134,Nephrocystin-4 ,0,BoxPL,O75161
135,Non-histone chromosomal protein HMG-17 ,0,BoxPL,P05204
136,Partitioning defective 3 homolog ,0,BoxPL,Q8TEW0
137,PAX-interacting protein 1 ,0,BoxPL,Q6ZW49
138,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,BoxPL,Q8TCU6
139,Protein FAM83G ,0,BoxPL,A6ND36
140,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,BoxPL,Q96T49
141,Serpin B12 ,0,BoxPL,Q96P63
142,SKI/DACH domain-containing protein 1 ,0,BoxPL,Q1XH10
143,Small ubiquitin-related modifier 2 ,0,BoxPL,P61956
144,Transketolase ,0,BoxPL,P51854
145,Transthyretin ,0,BoxPL,P02766
146,Tryptophan--tRNA ligase  ,0,BoxPL,Q9UGM6
147,Tyrosine-protein kinase ABL1 ,0,BoxPL,P00519
148,Tyrosine-protein kinase ABL2 ,0,BoxPL,P42684
149,Zinc finger protein 445 ,0,BoxPL,P59923
150,Zinc finger protein castor homolog 1 ,0,BoxPL,Q86V15
151,Adapter SH3BGRL ,0,BoxPL,O75368
152,ATP-binding cassette sub-family F member 1 ,0,BoxPL,Q8NE71
153,Clathrin heavy chain 2 ,0,BoxPL,P53675
154,Cohesin subunit SA-3 ,0,BoxPL,Q9UJ98
155,Histone H2B type 1-A ,0,BoxPL,Q96A08
156,Histone H2B type 2-K1 ,0,BoxPL,A0A2R8Y619
157,Midasin ,0,BoxPL,Q9NU22
158,POTE ankyrin domain family member F,0,BoxPL,A5A3E0
159,Phosphate carrier protein  mitochondrial ,0,BoxPL,Q00325
160,Polyadenylate-binding protein 1 ,1,BoxPL,Q4VXU2
161,Protein Shroom2 ,0,BoxPL,Q13796
162,Protein-glutamine gamma-glutamyltransferase K ,0,BoxPL,P22735
163,Pyruvate kinase PKM ,0,BoxPL,P14618
164,Small proline-rich protein 2G ,0,BoxPL,Q9BYE4
165,Small ubiquitin-related modifier 3 ,0,BoxPL,P55854
166,Suprabasin ,0,BoxPL,Q6UWP8
167,Syndetin ,0,BoxPL,Q96JG6
168,Tubulin alpha-3D chain ,0,BoxPL,P0DPH8
169,Ubiquitin carboxyl-terminal hydrolase 32 ,0,BoxPL,Q8NFA0
170,Vesicle-fusing ATPase ,1,BoxPL,P46459
171,Vimentin ,0,BoxPL,P08670
172,Alpha-fetoprotein ,0,BoxPL,P02771
173,Coagulation factor X ,0,BoxPL,P00742
174,Immunoglobulin lambda variable 9-49 ,0,BoxPL,A0A0B4J1Y8
175,10 kDa heat shock protein  mitochondrial ,0,BoxPL,P61604
176,Adenosylhomocysteinase ,1,BoxPL,P23526
177,Citrate synthase  mitochondrial ,1,BoxPL,O75390
178,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,BoxPL,Q9NZJ9
179,Dynein axonemal heavy chain 1 ,0,BoxPL,Q9P2D7
180,GTP-binding nuclear protein Ran ,0,BoxPL,P62826
181,HCG40295 ,0,BoxPL,F6WE04
182,Heat shock 70 kDa protein 6 ,1,BoxPL,P17066
183,Histone acetyltransferase KAT6B ,0,BoxPL,Q8WYB5
184,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,BoxPL,P50213
185,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,BoxPL,O75874
186,Nebulin ,0,BoxPL,P20929
187,Prohibitin ,0,BoxPL,P35232
188,Protein disulfide-isomerase A3 ,0,BoxPL,P30101
189,Protein FAM135A ,0,BoxPL,Q9P2D6
190,Ras-related protein Rab-5A ,1,BoxPL,P20339
191,Talin-2 ,0,BoxPL,Q9Y4G6
192,C1q domain-containing protein,0,BoxPL,Q6IMN6
193,Retinol-binding protein 4 ,0,BoxPL,P02753
194,IgGFc-binding protein ,0,BoxPL,Q9Y6R7
195,Glial fibrillary acidic protein  ,1,BoxPL,P14136
196,HAUS augmin-like complex subunit 3 ,0,BoxPL,Q68CZ6
197,Heat shock 70 kDa protein 1A ,0,BoxPL,P0DMV8
198,Histone H2B type 3-B ,0,BoxPL,Q8N257
199,Immunoglobulin lambda variable 1-44 ,0,BoxPL,P01699
200,Interleukin-1 receptor accessory protein ,0,BoxPL,Q9NZN1
201,Protein S100-A7 ,0,BoxPL,P31151
202,Tumor protein D52 ,0,BoxPL,P55327
203,Zinc finger MYND domain-containing protein 11 ,1,BoxPL,Q15326
204,Aspartate aminotransferase  mitochondrial ,0,BoxPL,P00505
205,ATP synthase F(0) complex subunit C1  mitochondrial ,0,BoxPL,P05496
206,ATP synthase F(0) complex subunit C2  mitochondrial ,0,BoxPL,Q06055
207,ATP-binding cassette sub-family G member 4 ,0,BoxPL,Q9H172
208,Chondroitin sulfate synthase 3 ,0,BoxPL,Q70JA7
209,Fibrinogen beta chain ,0,BoxPL,P02675
210,Fructose-bisphosphate aldolase A ,0,BoxPL,P04075
211,Gamma-enolase ,0,BoxPL,P09104
212,Histone H2B type 1-B ,0,BoxPL,P33778
213,Histone H2B type 2-E ,0,BoxPL,Q16778
214,Immunoglobulin heavy variable 2-70D ,0,BoxPL,A0A0C4DH43
215,Immunoglobulin kappa joining 1 ,0,BoxPL,A0A0A0MT89
216,Microtubule-associated serine/threonine-protein kinase 3 ,0,BoxPL,O60307
217,POTE ankyrin domain family member I,0,BoxPL,P0CG38
218,Ras-related protein Rab-5C ,1,BoxPL,P51148
219,S-adenosylmethionine synthase ,1,BoxPL,P31153
220,Serine/arginine-rich splicing factor 3 ,0,BoxPL,P84103
221,Small nuclear ribonucleoprotein Sm D3 ,0,BoxPL,P62318
222,T-complex protein 1 subunit theta ,0,BoxPL,Q96SF2
223,Calmodulin-like protein 5 ,0,BoxPL,Q9NZT1
224,Chloride intracellular channel protein 1 ,0,BoxPL,O00299
225,Inactive pancreatic lipase-related protein 1 ,0,BoxPL,P54315
226,Methyl-CpG-binding domain protein 5 ,0,BoxPL,Q9P267
227,Myelin expression factor 2 ,0,BoxPL,Q9P2K5
228,Proline-rich protein 36 ,0,BoxPL,Q9H6K5
229,RPL22 ,0,BoxPL,P35268
230,Tubulin beta-4B chain ,1,BoxPL,P68371
231,Ubiquitin-protein ligase E3B ,0,BoxPL,Q7Z3V4
232,Bridge-like lipid transfer protein family member 2  ,0,BoxPL,Q14667
233,Dynein regulatory complex protein 10 ,0,BoxPL,Q96DY2
234,Fructose-bisphosphate aldolase ,0,BoxPL,P05062
235,Glutamine synthetase ,0,BoxPL,P15104
236,Hypoxia-inducible factor 3-alpha ,0,BoxPL,Q9Y2N7
237,Pyruvate kinase ,0,BoxPL,P30613
238,Ras-related protein Rab-5B ,1,BoxPL,P61020
239,26S proteasome regulatory subunit 4 ,1,BoxPL,P62191
240,Aconitate hydratase  mitochondrial ,0,BoxPL,Q99798
241,Hemoglobin subunit beta ,0,BoxPL,P68871
242,MAP kinase-activating death domain protein ,0,BoxPL,Q8WXG6
243,Myosin light polypeptide 6 ,0,BoxPL,P60660
244,Prolactin-inducible protein ,0,BoxPL,P12273
245,Rho family-interacting cell polarization regulator 1 ,0,BoxPL,Q6ZS17
246,Ribosome biogenesis protein SPATA5 ,1,BoxPL,Q8NB90
247,Serpin B3 ,0,BoxPL,P29508
248,Tubby protein homolog ,0,BoxPL,P50607
249,Uncharacterized protein KIAA0825 ,0,BoxPL,Q8IV33
250,Zymogen granule protein 16 homolog B ,0,BoxPL,Q96DA0
251,Four and a half LIM domains protein 1  ,0,BoxPL,Q13642
252,Immunoglobulin heavy variable 2-70 ,0,BoxPL,P01814
253,Mucin-19 ,0,BoxPL,Q7Z5P9
254,Perilipin-3 ,0,BoxPL,O60664
255,Proline-serine-threonine phosphatase-interacting protein 2 ,0,BoxPL,Q9H939
256,Acyl-coenzyme A thioesterase 8 ,0,BoxPL,O14734
257,Cystatin-B ,0,BoxPL,P04080
258,Moesin ,0,BoxPL,P26038
259,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,BoxPL,O00443
260,Tubby-like protein ,0,BoxPL,O00294
261,Apolipoprotein C-II ,0,BoxPL,P02655
262,Beta-enolase ,0,BoxPL,P13929
263,Ezrin ,0,BoxPL,P15311
264,Nesprin-2 ,0,BoxPL,Q8WXH0
265,Protein unc-80 homolog ,0,BoxPL,Q8N2C7
266,Protocadherin Fat 4 ,0,BoxPL,Q6V0I7
267,Retroviral-like aspartic protease 1 ,0,BoxPL,Q53RT3
268,Tryptophan--tRNA ligase  cytoplasmic ,0,BoxPL,P23381
269,Extracellular matrix protein 1 ,0,BoxPL,Q16610
270,EH domain-binding protein 1-like protein 1 ,0,BoxPL,Q8N3D4
271,FERM and PDZ domain-containing protein 1 ,0,BoxPL,Q5SYB0
272,Sulfhydryl oxidase 1 ,0,BoxPL,O00391
273,Collagen alpha-2(XI) chain ,0,BoxPL,P13942
274,Glycine--tRNA ligase ,0,BoxPL,P41250
275,Protein SON,0,BoxPL,P18583
276,TSC22 domain family protein 2 ,0,BoxPL,O75157
277,Tubulin beta-8 chain ,1,BoxPL,Q3ZCM7
278,Stress-70 protein  mitochondrial ,0,BoxPL,P38646
279,Dedicator of cytokinesis protein 1 ,0,BoxPL,Q14185
280,Immunoglobulin heavy variable 3-73 ,0,BoxPL,A0A0B4J1V6
281,Immunoglobulin heavy variable 3-64 ,0,BoxPL,A0A075B6Q5
282,Proline/serine-rich coiled-coil protein 1 ,0,BoxPL,Q6PGN9
283,SERPIN domain-containing protein  ,0,BoxPL,A8MTL9
284,Deleted in malignant brain tumors 1 protein ,0,BoxPL,Q9UGM3
285,Immunoglobulin lambda variable 1-40 ,0,BoxPL,P01703
286,NCK-interacting protein with SH3 domain ,0,BoxPL,Q9NZQ3
287,Submaxillary gland androgen-regulated protein 3B ,0,BoxPL,P02814
288,T-complex protein 1 subunit gamma ,0,BoxPL,P49368
289,Clathrin coat assembly protein AP180 ,0,BoxPL,O60641
290,78 kDa glucose-regulated protein ,0,BoxPL,P11021
291,Bleomycin hydrolase ,0,BoxPL,Q13867
292,Immunoglobulin kappa variable 3D-15 ,0,BoxPL,A0A087WSY6
293,Protein S100-A9 ,0,BoxPL,P06702
294,Ras-related protein Rab-7a ,1,BoxPL,P51149
295,DNA replication licensing factor MCM4 ,0,BoxPL,P33991
296,Fibrinogen alpha chain ,0,BoxPL,P02671
297,Protein S100-A8 ,1,BoxPL,P05109
298,Fermitin family homolog 3 ,0,BoxPL,Q86UX7
299,Fibrinogen gamma chain ,0,BoxPL,P02679
300,26S proteasome regulatory subunit 8 ,1,BoxPL,P62195
301,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,BoxPL,P05166
302,Immunoglobulin kappa variable 6-21 ,0,BoxPL,A0A0C4DH24
303,14-3-3 protein zeta/delta ,0,BoxPL,P63104
304,Immunoglobulin lambda variable 3-19 ,0,BoxPL,P01714
305,POTE ankyrin domain family member E,1,BoxPL,Q6S8J3
306,Putative beta-actin-like protein 3 ,1,BoxPL,Q9BYX7
307,Protein disulfide-isomerase ,0,BoxPL,Q14554
308,Phosphoglycerate kinase 1 ,0,BoxPL,P00558
309,Talin-1 ,0,BoxPL,Q9Y490
310,Tetratricopeptide repeat protein 39A ,0,BoxPL,Q5SRH9
311,Complement component C8 gamma chain ,0,BoxPL,P07360
312,Profilin-1 ,0,BoxPL,P07737
313,Hemicentin-2 ,0,BoxPL,Q8NDA2
314,Eukaryotic initiation factor 4A-I ,0,BoxPL,P60842
315,Glutathione peroxidase 3 ,0,BoxPL,P22352
316,RNA helicase ,0,BoxPL,Q14562
317,Glutathione S-transferase ,0,BoxPL,O15217
318,Glutathione S-transferase P ,0,BoxPL,P09211
319,GTP-binding protein SAR1a ,0,BoxPL,Q9NR31
320,Immunoglobulin heavy variable 1-69 ,1,BoxPL,A0A0G2JMI3
321,14-3-3 protein sigma ,0,BoxPL,P31947
322,60S ribosomal protein L22 ,0,BoxPL,Q6P5R6
323,ATP-binding cassette sub-family B member 5 ,0,BoxPL,Q2M3G0
324,Phosphatidylcholine translocator ABCB4 ,0,BoxPL,P21439
325,40S ribosomal protein S8 ,0,BoxPL,P62241
326,GTP-binding protein SAR1b ,0,BoxPL,Q9Y6B6
327,Heterogeneous nuclear ribonucleoprotein A1 ,0,BoxPL,A0A2R8Y4L2
328,Tubulin beta-4A chain ,1,BoxPL,P04350
329,Immunoglobulin kappa variable 1-9 ,1,BoxPL,A0A0C4DH69
330,Dystonin ,0,BoxPL,Q03001
331,Radixin ,0,BoxPL,P35241
332,BPI fold-containing family B member 1 ,1,BoxPL,Q8TDL5
333,Properdin ,0,BoxPL,P27918
334,Eukaryotic initiation factor 4A-II ,0,BoxPL,Q14240
335,Probable non-functional immunoglobulin heavy variable 3-35 ,1,BoxPL,A0A0C4DH35
336,Immunoglobulin heavy variable 4-31 ,1,BoxPL,P0DP07
337,Immunoglobulin heavy variable 4-30-2 ,1,BoxPL,A0A087WSY4
338,Elongation factor 1-delta ,0,BoxPL,P29692
339,Sushi domain-containing protein,1,BoxPL,Q6UWL2
340,ATP synthase subunit beta  ,1,BoxPL,P06576
341,Immunoglobulin kappa variable 1D-12 ,1,BoxPL,P01611
342,Immunoglobulin heavy variable 4-59 ,1,BoxPL,P01825
343,Immunoglobulin heavy variable 4-34 ,1,BoxPL,P06331
344,Immunoglobulin heavy variable 4-61 ,1,BoxPL,A0A0C4DH41
345,TAR DNA-binding protein 43 ,0,BoxPL,Q13148
346,Immunoglobulin heavy variable 3-53 ,0,BoxPL,P01767
347,Immunoglobulin heavy variable 4-30-4 ,1,BoxPL,P0DP06
348,Immunoglobulin heavy variable 3-66 ,0,BoxPL,A0A0C4DH42
349,Immunoglobulin kappa variable 1-12 ,1,BoxPL,A0A0C4DH73
350,Immunoglobulin lambda variable 3-9 ,0,BoxPL,A0A075B6K5
351,Immunoglobulin heavy variable 3-11 ,0,BoxPL,P01762
352,Heat shock protein beta-1 ,0,BoxPL,P04792
353,Immunoglobulin kappa variable 2-28 ,0,BoxPL,A0A075B6P5
354,Immunoglobulin kappa variable 2D-26 ,0,BoxPL,A0A0A0MRZ7
355,Immunoglobulin kappa variable 2D-28 ,0,BoxPL,P01615
356,Immunoglobulin lambda constant 6 ,0,BoxPL,P0CF74
357,Immunoglobulin lambda variable 3-25 ,1,BoxPL,P01717
358,Immunoglobulin heavy variable 2-26 ,0,BoxPL,A0A0B4J1V2
359,Immunoglobulin lambda variable 8-61 ,0,BoxPL,A0A075B6I0
360,Leucine-rich alpha-2-glycoprotein ,0,BoxPL,P02750
361,Cholesteryl ester transfer protein ,0,BoxPL,P11597
362,Immunoglobulin kappa variable 6D-21 ,0,BoxPL,A0A0A0MT36
363,Immunoglobulin lambda variable 2-18 ,0,BoxPL,A0A075B6J9
364,Immunoglobulin heavy variable 4-28 ,0,BoxPL,A0A0C4DH34
365,Immunoglobulin lambda variable 6-57 ,0,BoxPL,P01721
366,SH3 and multiple ankyrin repeat domains protein 1 ,0,BoxPL,Q9Y566
367,Apolipoprotein M ,0,BoxPL,O95445
368,Adiponectin ,0,BoxPL,Q86V24
369,Immunoglobulin heavy variable 1-24 ,0,BoxPL,A0A0C4DH33
370,Uncharacterized protein ZSWIM9 ,0,BoxPL,Q86XI8
371,Apolipoprotein A-II ,0,BoxPL,P02652
372,Alpha-1-acid glycoprotein 2 ,0,BoxPL,P19652
373,Immunoglobulin kappa variable 2-24 ,0,BoxPL,A0A0C4DH68
374,Complement factor D ,0,BoxPL,P00746
375,Immunoglobulin kappa variable 1D-16 ,0,BoxPL,P01601
376,Immunoglobulin heavy variable 7-4-1 ,0,BoxPL,A0A0J9YVY3
377,Beta-Ala-His dipeptidase ,0,BoxPL,Q96KN2
378,Coagulation factor XIII A chain ,0,BoxPL,P00488
379,Selenoprotein P ,0,BoxPL,P49908
380,Coagulation factor IX ,0,BoxPL,P00740
381,Transferrin receptor protein 1 ,0,BoxPL,P02786
382,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,BoxPL,A0A075B6R9
383,Immunoglobulin lambda variable 1-51 ,0,BoxPL,P01701
384,Pigment epithelium-derived factor ,0,BoxPL,P36955
385,Immunoglobulin kappa variable 1-17 ,0,BoxPL,P01599
386,Complement C1q subcomponent subunit C ,0,BoxPL,P02747
387,Galectin-3-binding protein ,0,BoxPL,A6NE02
388,Immunoglobulin kappa variable 2D-30 ,0,BoxPL,A0A075B6S6
389,Immunoglobulin kappa variable 2D-29 ,0,BoxPL,A0A075B6S2
390,Immunoglobulin kappa variable 2-29 ,0,BoxPL,A2NJV5
391,Immunoglobulin kappa variable 1D-33 ,0,BoxPL,P01593
392,Immunoglobulin kappa variable 1-33 ,0,BoxPL,P01594
393,Immunoglobulin kappa variable 1D-8 ,0,BoxPL,A0A087WSZ0
394,Coagulation factor XIII B chain ,0,BoxPL,P05160
395,Immunoglobulin kappa variable 1-5 ,0,BoxPL,P01602
396,Immunoglobulin kappa variable 2-30 ,0,BoxPL,P06310
397,Immunoglobulin kappa variable 1-13 ,0,BoxPL,P0DP09
398,Immunoglobulin kappa variable 1D-13 ,0,BoxPL,A0A0B4J2D9
399,Complement C1s subcomponent ,0,BoxPL,P09871
400,Complement C1q subcomponent subunit A ,0,BoxPL,P02745
401,Immunoglobulin heavy variable 3-20 ,0,BoxPL,A0A0C4DH32
402,Immunoglobulin lambda-like polypeptide 1 ,0,BoxPL,P15814
403,Alpha-1-acid glycoprotein 1 ,0,BoxPL,P02763
404,Complement component C7 ,0,BoxPL,P10643
405,Immunoglobulin kappa variable 2-40 ,0,BoxPL,A0A087WW87
406,Immunoglobulin kappa variable 2D-40 ,0,BoxPL,P01614
407,Complement C1r subcomponent-like protein ,0,BoxPL,Q9NZP8
408,Fibulin-1 ,0,BoxPL,P23142
409,Protein AMBP ,0,BoxPL,P02760
410,Zinc-alpha-2-glycoprotein ,0,BoxPL,P25311
411,Immunoglobulin heavy variable 3-74 ,0,BoxPL,A0A0B4J1X5
412,Ficolin-3 ,0,BoxPL,O75636
413,Immunoglobulin heavy variable 3-43D ,0,BoxPL,P0DP04
414,Complement C2 ,0,BoxPL,P06681
415,Complement factor H-related protein 2 ,0,BoxPL,P36980
416,Corticosteroid-binding globulin ,0,BoxPL,P08185
417,Immunoglobulin heavy variable 3-30-3 ,0,BoxPL,P0DP02
418,Serum paraoxonase/arylesterase 1 ,0,BoxPL,P27169
419,Immunoglobulin heavy variable 3-33 ,0,BoxPL,P01772
420,Immunoglobulin heavy variable 3-21 ,0,BoxPL,A0A0B4J1V1
421,Lumican ,0,BoxPL,P51884
422,Coagulation factor XII ,0,BoxPL,P00748
423,Immunoglobulin heavy variable 3-72 ,0,BoxPL,A0A0B4J1Y9
424,Thyroxine-binding globulin ,0,BoxPL,P05543
425,Inter-alpha-trypsin inhibitor heavy chain H2 ,0,BoxPL,P19823
426,Complement factor I ,0,BoxPL,P05156
427,Alpha-2-antiplasmin ,0,BoxPL,P08697
428,Plasma protease C1 inhibitor ,0,BoxPL,P05155
429,Vitamin K-dependent protein S ,0,BoxPL,P07225
430,Collagen alpha-1(XII) chain ,0,BoxPL,Q99715
431,Immunoglobulin lambda constant 7 ,0,BoxPL,A0M8Q6
432,Alpha-1-antichymotrypsin ,0,BoxPL,P01011
433,Hemopexin ,0,BoxPL,P02790
434,Complement C4-B ,0,BoxPL,P0C0L5
435,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,BoxPL,Q14624
436,Alpha-1-antitrypsin ,0,BoxPL,P20848
437,Immunoglobulin heavy constant gamma 1 ,0,BoxPL,P01857
438,Thrombospondin-1 ,1,BoxPL,P07996
439,Apolipoprotein F ,1,BoxPL,Q13790
440,Immunoglobulin heavy variable 1-3 ,1,BoxPL,A0A0C4DH29
441,Apolipoprotein B-100 ,1,BoxPL,P04114
