,Protein,Abundance,Sample
135,Double-stranded RNA-specific editase 1 ,0,BoxPL
136,Dual specificity protein phosphatase CDC14A ,0,BoxPL
137,Filamin-C ,0,BoxPL
138,Glucosylceramide transporter ABCA12 ,0,BoxPL
139,Heat shock 70kDa protein 9B (Mortalin-2) ,0,BoxPL
140,Kinesin-like protein KIF21A ,0,BoxPL
141,MICAL-like protein 1 ,0,BoxPL
142,Myosin-9 ,0,BoxPL
143,Nephrocystin-4 ,0,BoxPL
144,Non-histone chromosomal protein HMG-17 ,0,BoxPL
145,Partitioning defective 3 homolog ,0,BoxPL
146,PAX-interacting protein 1 ,0,BoxPL
147,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,BoxPL
148,Protein FAM83G ,0,BoxPL
149,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,BoxPL
150,Serpin B12 ,0,BoxPL
151,SKI/DACH domain-containing protein 1 ,0,BoxPL
152,Small ubiquitin-related modifier 2 ,0,BoxPL
153,Transketolase ,0,BoxPL
154,Transthyretin ,0,BoxPL
155,Tryptophan--tRNA ligase  ,0,BoxPL
156,Tyrosine-protein kinase ABL1 ,0,BoxPL
157,Tyrosine-protein kinase ABL2 ,0,BoxPL
158,Zinc finger protein 445 ,0,BoxPL
159,Zinc finger protein castor homolog 1 ,0,BoxPL
160,Adapter SH3BGRL ,0,BoxPL
161,ATP-binding cassette sub-family F member 1 ,0,BoxPL
162,Clathrin heavy chain 2 ,0,BoxPL
163,Cohesin subunit SA-3 ,0,BoxPL
164,Histone H2B type 1-A ,0,BoxPL
165,Histone H2B type 2-K1 ,0,BoxPL
166,Midasin ,0,BoxPL
167,POTE ankyrin domain family member F,0,BoxPL
168,Phosphate carrier protein  mitochondrial ,0,BoxPL
169,Polyadenylate-binding protein 1 ,1,BoxPL
170,Protein Shroom2 ,0,BoxPL
171,Protein-glutamine gamma-glutamyltransferase K ,0,BoxPL
172,Putative annexin A2-like protein ,0,BoxPL
173,Pyruvate kinase PKM ,0,BoxPL
174,Small proline-rich protein 2G ,0,BoxPL
175,Small ubiquitin-related modifier 3 ,0,BoxPL
176,Suprabasin ,0,BoxPL
177,Syndetin ,0,BoxPL
178,Tubulin alpha-3D chain ,0,BoxPL
179,Ubiquitin carboxyl-terminal hydrolase 32 ,0,BoxPL
180,Vesicle-fusing ATPase ,1,BoxPL
181,Vimentin ,0,BoxPL
182,Alpha-fetoprotein ,0,BoxPL
183,Coagulation factor X ,0,BoxPL
184,Immunoglobulin lambda variable 9-49 ,0,BoxPL
185,10 kDa heat shock protein  mitochondrial ,0,BoxPL
186,Adenosylhomocysteinase ,1,BoxPL
187,ATP synthase lipid-binding protein ,0,BoxPL
188,Citrate synthase  mitochondrial ,1,BoxPL
189,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,BoxPL
190,Dynein axonemal heavy chain 1 ,0,BoxPL
191,GTP-binding nuclear protein Ran ,0,BoxPL
192,HCG40295 ,0,BoxPL
193,Heat shock 70 kDa protein 6 ,1,BoxPL
194,Histone acetyltransferase KAT6B ,0,BoxPL
195,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,BoxPL
196,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,BoxPL
197,Nebulin ,0,BoxPL
198,Polyadenylate-binding protein 1-like ,1,BoxPL
199,Prohibitin ,0,BoxPL
200,Protein disulfide-isomerase A3 ,0,BoxPL
201,Protein FAM135A ,0,BoxPL
202,Ras-related protein Rab-5A ,1,BoxPL
203,Talin-2 ,0,BoxPL
204,C1q domain-containing protein,0,BoxPL
205,Retinol-binding protein ,0,BoxPL
206,Retinol-binding protein 4 ,0,BoxPL
207,IgGFc-binding protein ,0,BoxPL
208,Glial fibrillary acidic protein  ,1,BoxPL
209,HAUS augmin-like complex subunit 3 ,0,BoxPL
210,Heat shock 70 kDa protein 1A ,0,BoxPL
211,Histone H2B type 3-B ,0,BoxPL
212,Immunoglobulin lambda variable 1-44 ,0,BoxPL
213,Interleukin-1 receptor accessory protein ,0,BoxPL
214,Protein S100-A7 ,0,BoxPL
215,Tumor protein D52 ,0,BoxPL
216,Zinc finger MYND domain-containing protein 11 ,1,BoxPL
217,Aspartate aminotransferase  mitochondrial ,0,BoxPL
218,ATP synthase F(0) complex subunit C1  mitochondrial ,0,BoxPL
219,ATP synthase F(0) complex subunit C2  mitochondrial ,0,BoxPL
220,ATP-binding cassette sub-family G member 4 ,0,BoxPL
221,Chondroitin sulfate synthase 3 ,0,BoxPL
222,Fibrinogen beta chain ,0,BoxPL
223,Fructose-bisphosphate aldolase A ,0,BoxPL
224,Gamma-enolase ,0,BoxPL
225,Histone H2B type 1-,0,BoxPL
226,Histone H2B type 1-B ,0,BoxPL
227,Histone H2B type 2-E ,0,BoxPL
228,Immunoglobulin heavy variable 2-70D ,0,BoxPL
229,Immunoglobulin kappa joining 1 ,0,BoxPL
230,Microtubule-associated serine/threonine-protein kinase 3 ,0,BoxPL
231,POTE ankyrin domain family member I,0,BoxPL
232,Protein KIAA0100 ,0,BoxPL
233,Ras-related protein Rab-5C ,1,BoxPL
234,S-adenosylmethionine synthase ,1,BoxPL
235,Serine/arginine-rich splicing factor 3 ,0,BoxPL
236,Small nuclear ribonucleoprotein Sm D3 ,0,BoxPL
237,T-complex protein 1 subunit theta ,0,BoxPL
238,Calmodulin-like protein 5 ,0,BoxPL
239,Chloride intracellular channel protein 1 ,0,BoxPL
240,Histone H2B type 1-J ,0,BoxPL
241,Inactive pancreatic lipase-related protein 1 ,0,BoxPL
242,Methyl-CpG-binding domain protein 5 ,0,BoxPL
243,Myelin expression factor 2 ,0,BoxPL
244,Proline-rich protein 36 ,0,BoxPL
245,RPL22 ,0,BoxPL
246,Tubulin beta-4B chain ,1,BoxPL
247,Ubiquitin-protein ligase E3B ,0,BoxPL
248,Bridge-like lipid transfer protein family member 2  ,0,BoxPL
249,Dynein regulatory complex protein 10 ,0,BoxPL
250,Fructose-bisphosphate aldolase ,0,BoxPL
251,Glutamine synthetase ,0,BoxPL
252,Hypoxia-inducible factor 3-alpha ,0,BoxPL
253,Polyadenylate-binding protein ,1,BoxPL
254,Pyruvate kinase ,0,BoxPL
255,Ras-related protein Rab-5B ,1,BoxPL
256,SLIT-R,0,BoxPL
257,26S proteasome regulatory subunit 4 ,1,BoxPL
258,Aconitate hydratase  mitochondrial ,0,BoxPL
259,Endoplasmic reticulum chaperone BiP ,0,BoxPL
260,Hemoglobin subunit beta ,0,BoxPL
261,MAP kinase-activating death domain protein ,0,BoxPL
262,Myosin light polypeptide 6 ,0,BoxPL
263,Non-specific serine/threonine protein kinase ,0,BoxPL
264,Prolactin-inducible protein ,0,BoxPL
265,Rho family-interacting cell polarization regulator 1 ,0,BoxPL
266,Ribosome biogenesis protein SPATA5 ,1,BoxPL
267,Serpin B3 ,0,BoxPL
268,Tubby protein homolog ,0,BoxPL
269,Uncharacterized protein KIAA0825 ,0,BoxPL
270,Zymogen granule protein 16 homolog B ,0,BoxPL
271,Four and a half LIM domains protein 1  ,0,BoxPL
272,Immunoglobulin heavy variable 2-70 ,0,BoxPL
273,Mucin-19 ,0,BoxPL
274,Perilipin-3 ,0,BoxPL
275,Proline-serine-threonine phosphatase-interacting protein 2 ,0,BoxPL
276,Acyl-coenzyme A thioesterase 8 ,0,BoxPL
277,Cystatin-B ,0,BoxPL
278,Moesin ,0,BoxPL
279,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,BoxPL
280,Tubby-like protein ,0,BoxPL
281,Apolipoprotein C-II ,0,BoxPL
282,Beta-enolase ,0,BoxPL
283,Citrate synthase  ,1,BoxPL
284,Ezrin ,0,BoxPL
285,Nesprin-2 ,0,BoxPL
286,Protein unc-80 homolog ,0,BoxPL
287,Protocadherin Fat 4 ,0,BoxPL
288,Retroviral-like aspartic protease 1 ,0,BoxPL
289,Tryptophan--tRNA ligase  cytoplasmic ,0,BoxPL
290,Extracellular matrix protein 1 ,0,BoxPL
291,EH domain-binding protein 1-like protein 1 ,0,BoxPL
292,FERM and PDZ domain-containing protein 1 ,0,BoxPL
293,Sulfhydryl oxidase 1 ,0,BoxPL
294,Collagen alpha-2(XI) chain ,0,BoxPL
295,Glycine--tRNA ligase ,0,BoxPL
296,Protein SON,0,BoxPL
297,TSC22 domain family protein 2 ,0,BoxPL
298,Tubulin beta-8 chain ,1,BoxPL
299,Stress-70 protein  mitochondrial ,0,BoxPL
300,Dedicator of cytokinesis protein 1 ,0,BoxPL
301,Immunoglobulin heavy variable 3-73 ,0,BoxPL
302,Immunoglobulin heavy variable 3-64 ,0,BoxPL
303,Proline/serine-rich coiled-coil protein 1 ,0,BoxPL
304,SERPIN domain-containing protein  ,0,BoxPL
305,Deleted in malignant brain tumors 1 protein ,0,BoxPL
306,Immunoglobulin lambda variable 1-40 ,0,BoxPL
307,NCK-interacting protein with SH3 domain ,0,BoxPL
308,Submaxillary gland androgen-regulated protein 3B ,0,BoxPL
309,T-complex protein 1 subunit gamma ,0,BoxPL
310,Clathrin coat assembly protein AP180 ,0,BoxPL
311,78 kDa glucose-regulated protein ,0,BoxPL
312,Bleomycin hydrolase ,0,BoxPL
313,Immunoglobulin kappa variable 3D-15 ,0,BoxPL
314,Protein S100-A9 ,0,BoxPL
315,Immunoglobulin kappa variable 1/,0,BoxPL
316,Ras-related protein Rab-7a ,1,BoxPL
317,DNA replication licensing factor MCM4 ,0,BoxPL
318,Fibrinogen alpha chain ,0,BoxPL
319,Protein S100-A8 ,1,BoxPL
320,Fermitin family homolog 3 ,0,BoxPL
321,Fibrinogen gamma chain ,0,BoxPL
322,26S proteasome regulatory subunit 8 ,1,BoxPL
323,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,BoxPL
324,Immunoglobulin kappa variable 6-21 ,0,BoxPL
325,14-3-3 protein zeta/delta ,0,BoxPL
326,Immunoglobulin lambda variable 3-19 ,0,BoxPL
327,POTE ankyrin domain family member E,1,BoxPL
328,Putative beta-actin-like protein 3 ,1,BoxPL
329,Protein disulfide-isomerase ,0,BoxPL
330,Phosphoglycerate kinase 1 ,0,BoxPL
331,Talin-1 ,0,BoxPL
332,Tetratricopeptide repeat protein 39A ,0,BoxPL
333,Complement component C8 gamma chain ,0,BoxPL
334,Profilin ,0,BoxPL
335,Profilin-1 ,0,BoxPL
336,Hemicentin-2 ,0,BoxPL
337,Eukaryotic initiation factor 4A-I ,0,BoxPL
338,Glutathione peroxidase 3 ,0,BoxPL
339,RNA helicase ,0,BoxPL
340,Glutathione S-transferase ,0,BoxPL
341,Glutathione S-transferase P ,0,BoxPL
342,GTP-binding protein SAR1a ,0,BoxPL
343,Immunoglobulin heavy variable 1-69 ,1,BoxPL
344,14-3-3 protein sigma ,0,BoxPL
345,60S ribosomal protein L22 ,0,BoxPL
346,ATP-binding cassette sub-family B member 5 ,0,BoxPL
347,Phosphatidylcholine translocator ABCB4 ,0,BoxPL
348,40S ribosomal protein S8 ,0,BoxPL
349,GTP-binding protein SAR1b ,0,BoxPL
350,Heterogeneous nuclear ribonucleoprotein A1 ,0,BoxPL
351,Tubulin beta-4A chain ,1,BoxPL
352,Immunoglobulin kappa variable 1-9 ,1,BoxPL
353,Dystonin ,0,BoxPL
354,Radixin ,0,BoxPL
355,BPI fold-containing family B member 1 ,1,BoxPL
356,Properdin ,0,BoxPL
357,Eukaryotic initiation factor 4A-II ,0,BoxPL
358,Probable non-functional immunoglobulin heavy variable 3-35 ,1,BoxPL
359,Immunoglobulin heavy variable 4-31 ,1,BoxPL
360,Immunoglobulin heavy variable 4-30-2 ,1,BoxPL
361,Elongation factor 1-delta ,0,BoxPL
362,Sushi domain-containing protein,1,BoxPL
363,ATP synthase subunit beta  ,1,BoxPL
364,Immunoglobulin kappa variable 1D-12 ,1,BoxPL
365,Immunoglobulin heavy variable 4-59 ,1,BoxPL
366,Immunoglobulin heavy variable 4-34 ,1,BoxPL
367,Immunoglobulin heavy variable 4-61 ,1,BoxPL
368,TAR DNA-binding protein 43 ,0,BoxPL
369,Immunoglobulin heavy variable 3-53 ,0,BoxPL
370,Immunoglobulin heavy variable 4-30-4 ,1,BoxPL
371,ATP synthase subunit beta  mitochondrial ,1,BoxPL
372,Immunoglobulin heavy variable 3-66 ,0,BoxPL
373,Immunoglobulin kappa variable 1-12 ,1,BoxPL
374,Immunoglobulin lambda variable 3-9 ,0,BoxPL
375,Immunoglobulin heavy variable 3-11 ,0,BoxPL
376,Heat shock protein beta-1 ,0,BoxPL
377,Immunoglobulin kappa variable 2-28 ,0,BoxPL
378,Immunoglobulin kappa variable 2D-26 ,0,BoxPL
379,Immunoglobulin kappa variable 2D-28 ,0,BoxPL
380,Immunoglobulin lambda constant 6 ,0,BoxPL
381,Immunoglobulin lambda variable 3-25 ,1,BoxPL
382,Immunoglobulin heavy variable 1/,0,BoxPL
383,Immunoglobulin heavy variable 2-26 ,0,BoxPL
384,Immunoglobulin lambda variable 8-61 ,0,BoxPL
385,Leucine-rich alpha-2-glycoprotein ,0,BoxPL
386,Cholesteryl ester transfer protein ,0,BoxPL
387,Immunoglobulin kappa variable 6D-21 ,0,BoxPL
388,Immunoglobulin lambda variable 2-18 ,0,BoxPL
389,Immunoglobulin heavy variable 4-28 ,0,BoxPL
390,Immunoglobulin lambda variable 6-57 ,0,BoxPL
391,SH3 and multiple ankyrin repeat domains protein 1 ,0,BoxPL
392,Apolipoprotein M ,0,BoxPL
393,Adiponectin ,0,BoxPL
394,Immunoglobulin heavy variable 1-24 ,0,BoxPL
395,Uncharacterized protein ZSWIM9 ,0,BoxPL
396,Apolipoprotein A-II ,0,BoxPL
397,Alpha-1-acid glycoprotein 2 ,0,BoxPL
398,Immunoglobulin kappa variable 2-24 ,0,BoxPL
399,Complement factor D ,0,BoxPL
400,Immunoglobulin kappa variable 1D-16 ,0,BoxPL
401,Immunoglobulin heavy variable 7-4-1 ,0,BoxPL
402,Beta-Ala-His dipeptidase ,0,BoxPL
403,Coagulation factor XIII A chain ,0,BoxPL
404,Selenoprotein P ,0,BoxPL
405,Coagulation factor IX ,0,BoxPL
406,Transferrin receptor protein 1 ,0,BoxPL
407,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,BoxPL
408,Immunoglobulin lambda variable 1-51 ,0,BoxPL
409,Pigment epithelium-derived factor ,0,BoxPL
410,Immunoglobulin kappa variable 1-17 ,0,BoxPL
411,Complement C1q subcomponent subunit C ,0,BoxPL
412,Galectin-3-binding protein ,0,BoxPL
413,Immunoglobulin kappa variable 2D-30 ,0,BoxPL
414,Immunoglobulin kappa variable 2D-29 ,0,BoxPL
415,Immunoglobulin kappa variable 2-29 ,0,BoxPL
416,Immunoglobulin kappa variable 1D-33 ,0,BoxPL
417,Immunoglobulin kappa variable 1-33 ,0,BoxPL
418,Immunoglobulin kappa variable 1D-8 ,0,BoxPL
419,Coagulation factor XIII B chain ,0,BoxPL
420,Immunoglobulin kappa variable 1-5 ,0,BoxPL
421,Immunoglobulin kappa variable 2-30 ,0,BoxPL
422,Immunoglobulin kappa variable 1-13 ,0,BoxPL
423,Immunoglobulin kappa variable 1D-13 ,0,BoxPL
424,Complement C1s subcomponent ,0,BoxPL
425,Complement C1q subcomponent subunit A ,0,BoxPL
426,Immunoglobulin heavy variable 3-20 ,0,BoxPL
427,Immunoglobulin lambda-like polypeptide 1 ,0,BoxPL
428,Alpha-1-acid glycoprotein 1 ,0,BoxPL
429,Complement component C7 ,0,BoxPL
430,Immunoglobulin kappa variable 2-40 ,0,BoxPL
431,Immunoglobulin kappa variable 2D-40 ,0,BoxPL
432,Complement C1r subcomponent-like protein ,0,BoxPL
433,Fibulin-1 ,0,BoxPL
434,Protein AMBP ,0,BoxPL
435,Zinc-alpha-2-glycoprotein ,0,BoxPL
436,Immunoglobulin heavy variable 3-74 ,0,BoxPL
437,Ficolin-3 ,0,BoxPL
438,Probable non-functional immunoglobulin kappa variable 3-7 ,0,BoxPL
439,Immunoglobulin heavy variable 3-43D ,0,BoxPL
440,C3/C5 convertase ,0,BoxPL
441,Complement C2 ,0,BoxPL
442,Complement factor H-related protein 2 ,0,BoxPL
443,Corticosteroid-binding globulin ,0,BoxPL
444,Immunoglobulin heavy variable 3-30-3 ,0,BoxPL
445,Serum paraoxonase/arylesterase 1 ,0,BoxPL
446,Immunoglobulin heavy variable 3-33 ,0,BoxPL
447,Immunoglobulin heavy variable 3-21 ,0,BoxPL
448,Lumican ,0,BoxPL
449,Coagulation factor XII ,0,BoxPL
450,Immunoglobulin heavy variable 3-72 ,0,BoxPL
451,Thyroxine-binding globulin ,0,BoxPL
452,Inter-alpha-trypsin inhibitor heavy chain H2 ,0,BoxPL
453,Complement factor I ,0,BoxPL
454,Alpha-2-antiplasmin ,0,BoxPL
455,Plasma protease C1 inhibitor ,0,BoxPL
456,Vitamin K-dependent protein S ,0,BoxPL
457,Collagen alpha-1(XII) chain ,0,BoxPL
458,Immunoglobulin lambda constant 7 ,0,BoxPL
459,ITIH4 protein ,0,BoxPL
460,Alpha-1-antichymotrypsin ,0,BoxPL
461,Hemopexin ,0,BoxPL
462,Complement C4-B ,0,BoxPL
463,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,BoxPL
464,Alpha-1-antitrypsin ,0,BoxPL
465,Immunoglobulin heavy constant gamma 1 ,0,BoxPL
466,Thrombospondin-1 ,1,BoxPL
467,Apolipoprotein F ,1,BoxPL
468,Immunoglobulin heavy variable 1-3 ,1,BoxPL
469,Apolipoprotein A-I ,1,BoxPL
470,Apolipoprotein B-100 ,1,BoxPL
471,Plasma serine protease inhibitor ,1,BoxPL
472,Immunoglobulin J chain ,1,BoxPL
473,Apolipoprotein L1 ,1,BoxPL
474,Phosphatidylcholine-sterol acyltransferase ,1,BoxPL
475,Protein Z-dependent protease inhibitor ,1,BoxPL
476,Complement component C9 ,1,BoxPL
477,Immunoglobulin heavy variable 3-7 ,1,BoxPL
478,CD5 antigen-like ,1,BoxPL
479,Immunoglobulin lambda variable 3-10 ,1,BoxPL
480,Probable non-functional immunoglobulinn kappa variable 1D-37 ,1,BoxPL
481,Probable non-functional immunoglobulinn kappa variable 1-37 ,1,BoxPL
482,Fetuin-B ,1,BoxPL
483,Immunoglobulin heavy variable 1-8 ,1,BoxPL
484,Carboxypeptidase B2 ,1,BoxPL
485,Phospholipid transfer protein ,1,BoxPL
486,Immunoglobulin kappa variable 3-20 ,1,BoxPL
487,Immunoglobulin heavy variable 1-46 ,1,BoxPL
488,Haptoglobin ,1,BoxPL
489,Immunoglobulin heavy variable 1-2 ,1,BoxPL
490,Immunoglobulin heavy variable 1-69D ,1,BoxPL
491,Immunoglobulin kappa variable 1-6 ,1,BoxPL
492,Gelsolin ,1,BoxPL
493,Serum amyloid P-component ,1,BoxPL
494,Immunoglobulin heavy variable 3-49 ,1,BoxPL
495,Immunoglobulin kappa variable 3-11 ,1,BoxPL
496,Complement subcomponent C1r ,1,BoxPL
497,Lipopolysaccharide-binding protein ,1,BoxPL
498,Immunoglobulin lambda variable 3-27 ,1,BoxPL
499,Immunoglobulin heavy variable 1-69-2 ,1,BoxPL
500,Immunoglobulin heavy variable 1-18 ,1,BoxPL
501,Beta-2-glycoprotein 1 ,1,BoxPL
502,Immunoglobulin kappa variable 1-39 ,1,BoxPL
503,Immunoglobulin kappa variable 1D-39 ,1,BoxPL
504,Vitronectin ,1,BoxPL
505,Kininogen-1 ,1,BoxPL
506,Hepatocyte growth factor activator ,1,BoxPL
507,Immunoglobulin heavy variable 3-23 ,1,BoxPL
508,Hyaluronan-binding protein 2 ,1,BoxPL
509,Immunoglobulin heavy constant alpha 1 ,1,BoxPL
510,Plasma kallikrein ,1,BoxPL
511,Ig-like domain-containing protein  ,1,BoxPL
512,Complement C1r subcomponent ,1,BoxPL
513,Angiotensinogen ,1,BoxPL
514,Alpha-2-HS-glycoprotein ,1,BoxPL
515,Complement component C6 ,1,BoxPL
516,Immunoglobulin kappa variable 3D-20 ,1,BoxPL
517,Immunoglobulin heavy constant mu ,1,BoxPL
518,Immunoglobulin heavy variable 3-15 ,1,BoxPL
519,Immunoglobulin kappa variable 1-27 ,1,BoxPL
520,C4b-binding protein alpha chain ,1,BoxPL
521,Plasminogen ,1,BoxPL
522,Immunoglobulin kappa variable 1-8 ,1,BoxPL
523,Carboxypeptidase N subunit 2 ,1,BoxPL
524,Immunoglobulin lambda variable 1-47 ,1,BoxPL
525,Immunoglobulin kappa variable 1-16 ,1,BoxPL
526,Complement factor B ,1,BoxPL
527,Fibronectin ,1,BoxPL
528,Immunoglobulin lambda constant 3 ,1,BoxPL
529,Immunoglobulin heavy variable 4-38-2 ,1,BoxPL
530,Immunoglobulin heavy variable 3-9 ,0,BoxPL
531,Immunoglobulin kappa variable 3/,0,BoxPL
532,Immunoglobulin kappa variable 3D-7 ,0,BoxPL
533,Immunoglobulin heavy variable 4-4 ,0,BoxPL
534,Prothrombin ,0,BoxPL
535,Kallistatin ,0,BoxPL
536,Complement component C8 beta chain ,0,BoxPL
537,Apolipoprotein D ,0,BoxPL
538,Immunoglobulin lambda constant 2 ,0,BoxPL
539,Haptoglobin-related protein ,0,BoxPL
